fecha,producto,cantidad_cajas,precio_venta_caja,total_ventas
2025-01-01,Caja Huevos Granel Primera,5,35000,175000
2025-01-01,Caja Huevos Granel Extra,3,38000,114000
2025-01-01,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-01,Caja Formato 15x12 (docena),2,40000,80000
2025-01-01,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-01,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-02,Caja Huevos Granel Primera,3,35000,105000
2025-01-02,Caja Huevos Granel Extra,3,38000,114000
2025-01-02,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-02,Caja Formato 15x12 (docena),2,40000,80000
2025-01-02,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-02,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-03,Caja Huevos Granel Primera,4,35000,140000
2025-01-03,Caja Huevos Granel Extra,3,38000,114000
2025-01-03,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-01-03,Caja Formato 15x12 (docena),1,40000,40000
2025-01-03,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-03,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-04,Caja Huevos Granel Primera,2,35000,70000
2025-01-04,Caja Huevos Granel Extra,2,38000,76000
2025-01-04,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-01-04,Caja Formato 15x12 (docena),1,40000,40000
2025-01-04,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-04,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-05,Caja Huevos Granel Primera,2,35000,70000
2025-01-05,Caja Huevos Granel Extra,1,38000,38000
2025-01-05,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-01-05,Caja Formato 15x12 (docena),1,40000,40000
2025-01-05,Caja Formato 20 Extra Bonito,0,50000,0
2025-01-05,Caja Formato 30 Mediano Bonito,0,54000,0
2025-01-06,Caja Huevos Granel Primera,4,35000,140000
2025-01-06,Caja Huevos Granel Extra,3,38000,114000
2025-01-06,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-06,Caja Formato 15x12 (docena),2,40000,80000
2025-01-06,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-06,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-07,Caja Huevos Granel Primera,5,35000,175000
